date,time,tank,temp.C,pH.mV,sal.psu,flow.mL.5s,par,tris.date,notes
10/13/22,10:52,Parents,27.44,-54.8,38.14,NA,441,20220924,
10/14/22,10:33,Parents,27.82,-56,38.08,NA,329,20220924,light 10 cm below surface
10/15/22,14:33,Parents,27.92,-56.5,38.19,NA,372,20220924,sunny conditions
10/16/22,14:00,Parents,27.86,-55.9,38.09,NA,203,20220924,
10/17/22,12:55,Parents,27.76,-56.6,38.21,NA,185,20220924,cloudy
10/19/22,16:48,Parents,27.73,-55.4,38.08,NA,28,20220924,
10/19/22,16:52,A1,27.5,-55.6,38.23,NA,3,20220924,
10/19/22,16:54,A2,27.45,-55.6,38.18,NA,4,20220924,
10/19/22,16:56,A3,27.42,-55.6,38.2,NA,7,20220924,
10/19/22,16:58,A4,27.43,-55.6,38.19,NA,6,20220924,
10/19/22,16:59,A5,27.47,-55.6,38.19,NA,8,20220924,
10/19/22,17:01,A6,27.5,-55.7,38.2,NA,6,20220924,
10/19/22,17:03,B1,27.35,-55.7,38.2,NA,7,20220924,
10/19/22,17:04,B2,27.45,-55.7,38.18,NA,7,20220924,
10/19/22,17:06,B3,27.44,-55.7,38.17,NA,6,20220924,
10/19/22,17:07,B4,27.47,-55.7,38.18,NA,6,20220924,
10/19/22,17:09,B5,27.43,-55.8,38.18,NA,4,20220924,
10/19/22,17:11,B6,27.41,-55.7,38.18,NA,5,20220924,
10/20/22,16:03,Parents,28.09,-57.7,38.19,NA,145,20220924,
10/20/22,16:20,A1,27.51,-56.5,38.24,25,27,20220924,
10/20/22,16:22,A2,27.46,-56.5,38.26,25,20,20220924,
10/20/22,16:23,A3,27.55,-56.5,38.23,30,31,20220924,
10/20/22,16:25,A4,27.42,-56.5,38.25,28,26,20220924,
10/20/22,16:26,A5,27.46,-56.5,38.19,27,27,20220924,
10/20/22,16:28,A6,27.55,-56.5,38.19,25,23,20220924,
10/20/22,16:30,B1,27.68,-56.4,38.2,20,41,20220924,
10/20/22,16:32,B2,27.76,-56.4,38.25,25,36,20220924,
10/20/22,16:33,B3,27.77,-56.3,38.26,22.5,38,20220924,
10/20/22,16:34,B4,27.82,-56.3,38.24,22.5,40,20220924,
10/20/22,16:36,B5,27.76,-56.3,38.25,27.5,40,20220924,
10/20/22,16:38,B6,27.77,-56.4,38.2,32.5,37,20220924,
10/21/22,16:28,Parents,27.87,-56,38.31,NA,108,20220924,
10/21/22,16:08,A1,27.66,-55.7,38.21,20,29,20220924,
10/21/22,16:09,A2,27.63,-55.8,38.2,26,24,20220924,
10/21/22,16:11,A3,27.64,-55.8,38.22,21,37,20220924,
10/21/22,16:12,A4,27.64,-54.6,38.2,22,34,20220924,
10/21/22,16:14,A5,27.64,-55.5,38.22,22,32,20220924,
10/21/22,16:16,A6,27.68,-55.6,38.21,22,30,20220924,
10/21/22,16:17,B1,27.65,-56.1,38.2,22,33,20220924,
10/21/22,16:19,B2,27.67,-56.1,38.21,24,43,20220924,
10/21/22,16:21,B3,27.66,-56.1,38.23,20,32,20220924,
10/21/22,16:22,B4,27.67,-56.1,38.21,21,37,20220924,
10/21/22,16:24,B5,27.66,-56.1,38.2,23,31,20220924,
10/21/22,16:26,B6,27.66,-56.1,38.21,24,31,20220924,
10/23/22,17:08,Parents,28.21,-57.3,38.2,NA,10,20220924,
10/23/22,17:15,A1,27.75,-57.2,38.32,NA,3,20220924,
10/23/22,17:17,A2,27.71,-57.2,38.33,NA,1,20220924,
10/23/22,17:19,A3,27.79,-57.2,38.23,NA,1,20220924,
10/23/22,17:21,A4,27.71,-57.2,38.27,NA,2,20220924,
10/23/22,17:22,A5,27.75,-57.2,38.25,NA,1,20220924,
10/23/22,17:23,A6,27.74,-57.2,38.25,NA,1,20220924,
10/23/22,17:25,B1,27.68,-57.1,38.22,NA,3,20220924,
10/23/22,17:27,B2,27.71,-57.2,38.28,NA,1,20220924,
10/23/22,17:30,B3,27.7,-57.2,38.21,NA,1,20220924,
10/23/22,17:31,B4,27.71,-57.3,38.27,NA,2,20220924,
10/23/22,17:33,B5,27.72,-57.2,38.27,NA,3,20220924,
10/23/22,17:34,B6,27.71,-57.2,38.28,NA,4,20220924,
10/24/22,16:20,A1,30.01,-55,38.26,20,9,20220924,late in day low light 
10/24/22,16:22,A2,29.83,-55,38.05,15,7,20220924,
10/24/22,16:23,A3,29.87,-55,38.29,24,6,20220924,
10/24/22,16:24,A4,29.78,-55.2,38.51,22,10,20220924,
10/24/22,16:26,A5,29.99,-55,38.31,19,8,20220924,
10/24/22,16:28,A6,30.06,-55,38.32,20,12,20220924,
10/24/22,16:29,B1,27.44,-55.2,38.26,25,7,20220924,
