date,time,tank,temp.C,pH.mV,sal.psu,flow.mL.5s,par,tris.date,notes
10/24/22,16:30,B2,27.45,-56.1,38.24,18,7,20220924,
10/24/22,16:32,B3,27.32,-56,38.22,20,5,20220924,
10/24/22,16:34,B4,27.51,-56.1,38.23,22,10,20220924,
10/24/22,16:35,B5,27.48,-56,38.23,20,3,20220924,
10/24/22,16:37,B6,27.47,-56,38.21,25,6,20220924,
10/25/22,15:20,A1,29.4,-54.8,38.14,30,24,20220924,
10/25/22,15:22,A2,29.67,-54.7,38.14,32.5,20,20220924,
10/25/22,15:24,A3,29.65,-54.7,38.19,38,19,20220924,
10/25/22,15:25,A4,29.59,-54.8,38.17,32,19,20220924,
10/25/22,15:27,A5,29.59,-54.8,38.19,30,27,20220924,
10/25/22,15:29,A6,29.61,-54.8,38.18,32.5,26,20220924,
10/25/22,15:30,B1,27.05,-55.9,38.17,32,24,20220924,
10/25/22,15:33,B2,27.12,-55.8,38.18,32.5,31,20220924,
10/25/22,15:35,B3,27.16,-55.8,38.19,32.5,23,20220924,
10/25/22,15:37,B4,27.11,-55.8,38.19,35,25,20220924,
10/25/22,15:38,B5,27.12,-55.8,38.17,34,22,20220924,
10/25/22,15:39,B6,27.13,-55.8,38.19,32.5,22,20220924,
10/26/22,17:10,A1,28.68,-52.6,35.14,30,10,20220924,
10/26/22,17:12,A2,29.12,-52.8,35.15,32,9,20220924,
10/26/22,17:14,A3,28.94,-53.7,35.13,34,8,20220924,
10/26/22,17:15,A4,28.9,-53.8,35.12,33,5,20220924,
10/26/22,17:16,A5,28.9,-53.9,35.09,34,3,20220924,
10/26/22,17:18,A6,29.13,-53.8,35.13,32,4,20220924,
10/26/22,17:20,B1,26.49,-54.8,34.98,32.5,6,20220924,
10/26/22,17:21,B2,26.58,-54.8,35.05,34,7,20220924,
10/26/22,17:23,B3,26.52,-54.9,35.1,35,10,20220924,
10/26/22,17:24,B4,26.55,-54.8,35.12,30,2,20220924,
10/26/22,17:25,B5,26.56,-54.8,35.06,31,1,20220924,
10/26/22,17:27,B6,26.68,-54.9,35.05,34,4,20220924,
10/27/22,18:12,A1,29.36,-54.2,35.17,25,NA,20220924,
10/27/22,18:14,A2,29.49,-54.2,35.12,22.5,NA,20220924,
10/27/22,18:15,A3,29.56,-54.3,35.08,25,NA,20220924,
10/27/22,18:16,A4,29.51,-54.3,35.07,24,NA,20220924,
10/27/22,18:18,A5,29.54,-54.3,35.06,23,NA,20220924,
10/27/22,18:20,A6,29.6,-54.3,35.08,25,NA,20220924,
10/27/22,18:22,B1,27.17,-55.2,34.97,22,NA,20220924,
10/27/22,18:23,B2,27.2,-55.4,35.05,25,NA,20220924,
10/27/22,18:25,B3,27.15,-55.3,35.06,23,NA,20220924,
10/27/22,18:27,B4,27.11,-55.3,35.19,24,NA,20220924,
10/27/22,18:29,B5,27.12,-55.4,35.05,25,NA,20220924,
10/27/22,18:30,B6,27.18,-55.3,35.06,22.5,NA,20220924,
