Measurement Name :,20221026_SDR710_Plate8,,Generated On :,"26/10/2022, 11:12:41",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"26/10/2022, 10:33:12",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"26/10/2022, 11:07:20",,,,,,O2_cal0 [¡],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,Adjustment at ,30, ¡C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [¡C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [[%] Air Saturation],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,45.64,45.8,46.09,45.99,45.98,46.29,46.27,46.15,46.11,45.99,47.11,46.26,46.48,45.98,46.93,48.57,46.58,46.68,46.08,47.18,45.83,47.04,46.32,46.26,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
26.10.22 10:33:14,0.03,88.32,91.58,83.05,98.99,101.02,101.2,98.36,80.31,100.44,99.13,122.08,94.24,100.3,88.91,101.77,106.02,104.34,91.69,95.79,101.82,95.61,94.53,98.36,99.85,,30,965,36,29.86,965D6-(E1);
26.10.22 10:33:29,0.28,90.75,89.51,91.34,95.4,87.79,85.68,104.96,96.34,91.03,92.84,109.61,87.58,109.12,89.61,107.28,103.2,110.48,91.69,99.56,91.2,94.34,99.19,93.18,92.93,,30,965,36,29.56,965D6-(E1);
26.10.22 10:33:44,0.53,77.6,91.03,96.22,99.86,87.1,85.83,92.63,85.75,101.18,91.85,100.33,86.01,86.71,94.26,107.45,104.61,94.8,82.7,82.51,99.84,87.15,92.14,95.98,91.62,,30,965,36,29.38,965D6-(E1);
26.10.22 10:33:59,0.78,94.58,95.2,99.56,91.7,99.86,104.82,101.49,92.29,106.07,95.82,104.94,93.95,97.42,100,107.45,139.96,108.58,105.65,98.25,87.2,100,102.77,108.35,100.15,,30,965,36,29.28,965D6-(E1);
26.10.22 10:34:14,1.03,99.72,100.57,99.41,99.86,111.81,96.73,107.7,120.85,112.57,114.09,125.22,108.3,118.17,103.06,123.34,122.69,110.64,115.61,104.57,99.84,104.46,111.2,107.28,111.83,,30,965,36,29.24,965D6-(E1);
26.10.22 10:34:29,1.28,107.38,105.89,116.23,99.28,103.2,107.1,118.25,107,108.78,110.77,121.74,104.8,129.3,108.67,113.38,112.95,118.36,96.28,119.46,109.69,103.73,97.74,110.2,102.24,,30,965,36,29.21,965D6-(E1);
26.10.22 10:34:44,1.53,84.44,85.28,88.64,96.11,87.93,88.84,93.94,89.14,84.82,98.84,117.94,97.77,93.36,99.42,107.94,100.4,103.25,87.17,96.65,94.76,79.72,91.19,97.31,91.48,,30,965,36,29.2,965D6-(E1);
26.10.22 10:34:59,1.78,99.3,107.06,109.36,107.19,108.52,92.62,107.24,99.41,104.43,107.93,129.99,99.55,106.31,109.41,110.07,110.29,103.87,95.82,105.76,105.15,103.59,101.63,106.82,110.45,,30,965,36,29.21,965D6-(E1);
26.10.22 10:35:14,2.03,82.18,97.59,95.93,79.67,88.49,95.7,92.48,89.14,97.95,103.21,103.29,77.16,91.72,91.15,86.8,109.06,85.09,80.04,102.2,99.34,85.51,85.69,97.16,86.87,,30,965,36,29.23,965B6-(E1);
26.10.22 10:35:29,2.28,85.9,95.76,99.12,102.04,102.03,105.27,96.74,102.37,97.37,109.42,112.65,102.99,115.6,80.09,94.91,114.59,109.53,90.78,95.07,104.15,96.88,103.1,111.6,88.01,,30,965,36,29.24,965D6-(E1);
26.10.22 10:35:44,2.53,101.26,103,109.82,106,107.33,104.21,109.38,93.3,89.04,98.84,115.71,110.45,118.81,99.57,111.06,115.83,117.71,109.15,103.23,91.36,99.86,103.26,110.05,91.91,,30,965,36,29.27,965B6-(E1);
26.10.22 10:35:59,2.78,94.31,96.18,110.12,103.21,95.26,96.88,113.86,95.76,97.08,98.99,105.94,94.1,107.87,100.58,101.61,113.36,99.54,102.19,104.72,98.35,97.58,104.41,116.13,93.08,,30,965,36,29.31,965D6-(E1);
26.10.22 10:36:14,3.03,91.57,106.62,103.53,90.72,94.83,99.85,116.21,105.5,109.08,112.27,123.3,95.42,101.99,100.73,116.56,115.41,110.17,95.51,97.52,103.81,97.58,100.65,106.36,104.35,,30,965,36,29.34,965D6-(E1);
26.10.22 10:36:29,3.28,87.64,94.92,86.53,86.94,96.11,80.02,88.72,81.41,81.49,91,110.28,89.88,100.76,86.82,98.88,92.87,96.78,94.13,103.97,95.41,90.86,88.19,96.72,90.9,,30,965,36,29.38,965D6-(E1);
26.10.22 10:36:44,3.53,71.44,84.74,80.42,83.9,89.61,85.97,98.51,82.8,78.74,92.69,97.07,86.87,82.35,94.83,93.02,96.62,92.84,80.78,82.23,71.92,81.86,84.45,85.93,86.73,,30,965,36,29.39,965B6-(E1);
26.10.22 10:36:59,3.78,95.68,109.54,112.39,91.56,107.77,115.14,119.99,101.48,106.52,100.15,129.81,101.34,118.49,107.33,117.57,119.76,111.12,107.4,108.15,107.5,118.54,105.39,113.93,105.1,,30,965,36,29.44,965D6-(E1);
26.10.22 10:37:14,4.03,104.95,104.59,121.67,99.86,112.26,105.73,103,106.55,115.95,110.62,112.82,114,107.87,103.64,116.39,119.56,122.62,109.15,110.86,104.15,110.01,92.77,117.55,106.32,,30,965,36,29.46,965D6-(E1);
26.10.22 10:37:29,4.28,96.1,102.86,108.61,105.56,97.26,95.99,103.75,89.29,101.77,86.53,121.04,97.33,99.54,105.11,113.88,108.46,108.9,97.98,106.8,98.35,100.57,90.24,109.58,98.66,,30,965,36,29.5,965D6-(E1);
26.10.22 10:37:44,4.53,85.5,91.86,90.91,86.39,89.05,88.84,99.26,100.29,98.97,87.5,112.14,102.84,107.4,94.69,95.23,89.74,96.48,85.52,103.97,97.04,89.07,84.6,97.46,89.31,,30,965,36,29.53,965B6-(E1);
