Measurement Name :,20221028_SDR641_Plate13,,Generated On :,"28/10/2022, 09:52:55",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"28/10/2022, 09:15:50",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"28/10/2022, 09:52:35",,,,,,O2_cal0 [¡],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,Adjustment at ,27, ¡C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [[%] Air Saturation],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,46.54,46.38,46.47,46.61,46.52,46.5,46.58,46.38,46.67,46.64,46.63,46.49,46.69,46.58,46.58,46.58,46.54,46.68,46.52,47.02,46.76,46.68,46.61,46.69,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
28.10.22 09:15:52,0.03,121.4,130.05,108.33,78.69,116.5,128.79,99.41,99.85,100.9,115.76,108.16,110.31,114.43,113.18,103.58,108.73,88.39,117.72,105.21,103.6,99.4,105.29,103.59,84.18,,27,965,36,28.61,
28.10.22 09:16:07,0.28,87.96,84.67,79.68,56.11,69.5,85.61,72.02,85.64,70.66,92.76,77.95,76.21,84.46,83.37,81.54,71.34,77.74,84.19,78.33,74.39,74.97,82.49,72.34,53.39,,27,965,36,28.35,965B6-(E1);
28.10.22 09:16:22,0.53,102.82,109.3,101.32,61.34,97.94,107.3,88.63,102.04,97.46,109.24,98.51,91.87,94.94,100.45,82.67,84.5,81.06,95.53,112.79,87.93,89.43,93.17,86.02,72.94,,27,965,36,28.24,965B6-(E1);
28.10.22 09:16:37,0.78,89.1,88.15,90.74,52.76,92.28,98.53,78.34,80.82,76.74,82.28,82.43,82.27,84.18,93.1,83.23,72.7,87.11,93.91,83.47,70.81,66.13,79.94,73.99,56.65,,27,965,36,28.18,965D6-(E1);
28.10.22 09:16:52,1.03,93.13,91.82,80.64,49.06,85.3,87.44,66.76,74.99,76.18,90.44,77.81,74.71,82.75,90.06,76.95,67.57,79.95,93.61,82.91,74.68,68.45,80.64,73.85,59.95,,27,965,36,28.13,
