Measurement Name :,20221026_SDR641_Plate11,,Generated On :,"26/10/2022, 13:05:29",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"26/10/2022, 12:29:40",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"26/10/2022, 13:05:13",,,,,,O2_cal0 [¡],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,Adjustment at ,27, ¡C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [[%] Air Saturation],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,46.59,46.57,46.59,47.07,46.45,46.37,46.64,46.65,46.51,47.16,46.8,46.68,46.33,46.53,46.53,46.52,46.41,46.88,46.39,47.34,46.65,46.99,46.61,49.22,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
26.10.22 12:29:42,0.03,100.74,98.23,97.78,86.21,87.22,89.29,112.48,83.11,113.09,96.7,106.29,109.13,103.35,98.82,105.21,86,85.88,106.5,105.14,89.83,102.4,100.16,94.1,124.7,,27,965,36,26.58,965D6-(E1);
26.10.22 12:29:57,0.28,91.93,94.41,90.34,98.6,82.62,93.24,94.81,99.85,98.09,97.17,104.28,102.41,98.7,92.84,93.57,90.7,99.85,108.06,104.55,89.67,99.1,87.97,97.92,110.38,,27,965,36,26.61,965D6-(E1);
26.10.22 12:30:12,0.53,110.42,121.78,109.96,108.71,98.98,113.67,124.02,114.05,115.71,134.32,108.15,107.28,110.15,112.04,108.38,107.77,106.04,121.67,105.44,96.95,104.37,110.87,117.44,128.01,,27,965,36,26.65,965D6-(E1);
