Measurement Name :,20221024_SDR641_Plate3,,Generated On :,"24/10/2022, 11:05:58",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
24.10.22 10:27:02,2.53,110.7,103.29,113.27,99.7,116.82,106.16,102.11,109.91,99.7,111.57,105.52,109.02,109.53,110.62,118.16,118.29,112.78,108.36,108.2,99.21,122.57,108.22,98.78,96.96,,27,965,36,27.15,
24.10.22 10:27:17,2.78,116.35,91.19,113.59,92.44,101.19,96,97.75,96.57,89.5,97.28,109.09,97.75,102.24,102.1,95.39,105.32,109.58,106.33,109.43,106.86,100.75,98.2,113.21,87.05,,27,965,36,27.22,
24.10.22 10:27:32,3.03,79.87,109.98,143.94,86.2,100.9,104.95,106.07,120.76,106.68,107.2,123.46,100.75,111.38,107.09,102.86,101.66,104.15,101.99,116.3,99.21,104.36,101.05,102.29,96.53,,27,965,36,27.26,
24.10.22 10:27:47,3.28,112.89,95.12,129.88,101.35,118.4,98.22,109.62,119.01,103.63,98.34,146.05,109.02,105.41,96.88,113.76,116.38,116.33,98.63,114.88,117.16,112.79,92.72,104.6,97.54,,27,965,36,27.29,
24.10.22 10:28:02,3.53,92.42,110.9,132.85,94.94,97.03,112.14,123.22,116.31,106.53,114.88,134.57,128.15,105.71,106.63,117.37,112.6,111.86,117.57,110.98,100.32,107.56,120.3,113.05,98.69,,27,965,36,27.36,
24.10.22 10:28:17,3.78,110.55,98.81,122.59,96.27,99.26,110.9,106.38,119.33,100.3,89.56,120.54,111.19,114.95,100.6,91.73,104.55,96.19,101.53,105.6,96.85,92.76,94.04,90.39,87.33,,27,965,36,27.41,
24.10.22 10:28:32,4.03,100.9,107.68,109.87,86.2,97.77,96.74,115.24,81.9,102.87,85.33,96.22,106.39,104.81,102.7,115.95,99.25,107.61,95.9,106.36,102.7,108.63,97.6,110.37,101.46,,27,965,36,27.47,
24.10.22 10:28:47,4.28,96.56,107.84,124.36,92,107.23,118.54,118.89,120.92,99.1,102.89,117.32,117.33,111.84,110.92,87.81,115.75,120.39,98.48,115.51,105.41,116.54,102.41,118.16,85.24,,27,965,36,27.51,
24.10.22 10:29:02,4.53,80.72,102.99,142.23,99.85,101.05,99.26,105.46,113.8,107.14,94.89,113.97,110.26,100.3,111.85,110.8,120.37,105.5,101.07,114.25,110.26,92.47,105.3,110.68,90.83,,27,965,36,27.57,
24.10.22 10:29:17,4.78,91.54,115.56,127.92,98.65,104.65,104.65,106.69,116,103.02,93.1,114.77,110.57,104.81,113.25,140.58,113.07,129.31,92.89,111.29,113.69,120.34,105,97.87,100.58,,27,965,36,27.61,
24.10.22 10:29:32,5.03,81.01,102.39,124.2,80.78,101.79,99.55,87.6,114.43,94.04,80.44,128.06,100.91,101.34,108.92,122.94,99.55,102.07,97.56,113,99.05,104.81,98.95,102.75,91.54,,27,965,36,27.65,
24.10.22 10:29:47,5.28,86.88,94.68,128.09,77.55,102.69,116.34,110.7,117.42,96.41,92.06,107.69,105.78,97.48,105.87,121.66,95.06,104.6,94.69,121.54,114.84,103.76,96.71,104.6,86.49,,27,965,36,27.71,
24.10.22 10:30:02,5.53,96.11,103.29,104.37,90.4,112.77,108.91,108.07,117.74,108.53,77.59,109.41,104.55,98.22,99.4,127.46,104.86,108.82,105.7,111.14,115.67,129.69,94.19,105.07,91.54,,27,965,36,27.76,
24.10.22 10:30:17,5.78,104.39,119.64,126.46,102.56,104.81,116.65,110.55,113.02,107.29,92.06,132.22,124.24,108.3,102.25,118.79,117.18,106.25,110.87,121.54,119.32,126.27,104.39,118,100.58,,27,965,36,27.79,
24.10.22 10:30:32,6.03,98.05,112.14,115.93,86.92,98.66,94.98,108.38,117.74,111,98.04,113.5,104.4,100.15,106.94,108.03,109.79,95.61,96.2,122.02,127.08,114.51,93.6,101.99,95.96,,27,965,36,27.85,
24.10.22 10:30:47,6.28,99.85,89.74,145.99,88.36,103.45,93.37,123.54,105.14,100.45,83.74,108.63,97.3,103.75,97.92,85.66,112.6,87.43,102.3,102.26,108.31,98.06,93.75,101.99,92.67,,27,965,36,27.9,
24.10.22 10:31:02,6.53,105.61,105.71,117.66,87.06,101.34,97.18,116.03,110.37,105.3,86.34,103.36,97.15,111.84,98.51,115.79,105.17,92.43,105.55,112.07,122.17,104.21,94.78,110.21,96.67,,27,965,36,27.94,
24.10.22 10:31:17,6.78,99.1,110.29,106.8,77.41,99.55,108.91,112.11,103.02,102.87,83.02,105.67,114.01,103.45,116.53,114.23,101.06,123.7,93.04,103.01,105.57,100,86.46,111.47,86.49,,27,965,36,27.99,
24.10.22 10:31:32,7.03,90.95,114.31,130.05,85.2,104.96,112.76,116.98,121.24,110.69,83.45,111.76,101.06,104.65,105.72,102.55,110.88,103.71,94.24,99.1,116.99,93.35,104.39,111.63,105.13,,27,965,36,28.04,
24.10.22 10:31:47,7.28,97.45,110.13,131.53,87.93,105.11,104.2,117.77,100.45,106.83,84.03,126.57,101.36,100,112.63,108.49,114.17,112.93,86.37,111.91,106.7,121.45,96.86,99.24,91.4,,27,965,36,28.07,
24.10.22 10:32:02,7.53,95.07,94.24,115.31,82.34,93.65,94.39,104.54,114.9,94.49,89.12,102.29,105.63,101.49,95.7,111.27,101.81,107,95.14,121.22,110.1,109.09,86.6,95.61,92.53,,27,965,36,28.11,
24.10.22 10:32:17,7.78,103.78,118.22,126.3,87.5,109.84,111.67,120.81,109.6,90.08,99.85,116.68,105.93,114.63,105.42,115.01,117.33,116.95,102.92,124.11,125.38,115.6,100.9,97.72,94.67,,27,965,36,28.14,
24.10.22 10:32:32,8.03,94.92,88.3,104.97,78.11,98.81,113.53,112.89,120.76,99.4,94.44,106.76,114.33,96.59,88.57,118.79,111.35,114.63,93.34,110.05,106.38,120.34,87.9,114.8,94.67,,27,965,36,28.16,
24.10.22 10:32:47,8.28,112.57,111.36,137,105.6,107.54,115.87,112.42,117.58,123.36,93.1,121.19,116.54,116.04,122.71,125.84,122.94,130.92,109.14,132.62,136.24,120.82,105,120.58,114.43,,27,965,36,28.21,
24.10.22 10:33:02,8.53,91.39,98.22,103.31,77.97,98.36,105.86,97.45,102.26,111.31,88.09,107.07,92.55,95.41,82.15,122.46,120.53,100.44,90.8,122.99,107.5,110.16,93.01,100.61,86.49,,27,965,36,28.26,
24.10.22 10:33:17,8.78,99.4,94.1,122.75,79.37,103.9,96.59,130.4,112.55,101.51,88.09,111.13,104.25,94.83,103,105.89,100.3,109.27,85.79,113.47,102.38,101.2,101.81,112.42,93.24,,27,965,36,28.28,
24.10.22 10:33:32,9.03,83.86,93.66,115.46,78.25,98.36,112.76,103.17,115.05,118.39,88.39,112.08,105.01,99.4,105.72,142.11,103.18,98.53,101.23,125.89,113.86,108.32,81.74,104.91,94.53,,27,965,36,28.32,
24.10.22 10:33:47,9.28,106.99,111.06,108.48,101.35,109.84,119.48,122.41,113.02,116.49,95.19,124.28,116.22,105.71,105.26,131.07,123.1,102.96,110.09,117.4,109.28,113.73,98.8,110.37,102.92,,27,965,36,28.35,
24.10.22 10:34:02,9.53,95.96,99.11,114.84,82.06,96.3,107.68,119.37,122.37,107.6,85.33,115.08,110.57,107.54,105.11,123.26,99.4,114.01,97.87,118.35,117.49,118.59,96.56,110.37,94.67,,27,965,36,28.38,
24.10.22 10:34:17,9.78,92.27,83.46,117.51,87.78,93.8,96.89,106.38,101.35,88.92,88.24,102.9,95.51,91.9,99.7,93.77,98.65,97.8,97.56,101.5,94.83,87.12,92.28,107.71,86.21,,27,965,36,28.41,
24.10.22 10:34:32,10.03,84.72,107.23,127.6,73.24,95.56,98.07,100.45,92.29,105.3,86.49,101.22,95.51,93.36,96.14,103.76,87,91.56,90.66,109.59,107.02,101.35,83.02,107.24,90.41,,27,965,36,28.44,
24.10.22 10:34:47,10.28,99.1,101.04,129.72,84.05,102.09,113.38,115.87,117.9,106.83,85.76,112.55,109.33,104.96,113.09,109.41,105.17,106.1,106.01,110.67,110.58,85.69,95.67,110.84,98.26,,27,965,36,28.47,
24.10.22 10:35:02,10.53,112.11,108.14,118.93,97.01,99.7,122.82,131.56,117.58,111.47,98.79,96.22,137.98,98.66,103.9,116.11,100.45,104.3,113.25,127.52,114.19,114.2,103.32,108.8,88.3,,27,965,36,28.51,
24.10.22 10:35:17,10.78,96.71,97.18,130.21,87.78,99.4,108.6,117.46,115.37,101.66,94.14,106.14,114.33,111.38,116.06,112.98,115.27,112.78,93.94,122.66,119.49,119.86,101.51,113.37,93.24,,27,965,36,28.54,
24.10.22 10:35:32,11.03,84.43,104.05,103,85.77,105.71,108.45,135.22,123.98,109.45,85.33,128.56,117.49,104.35,105.26,108.34,107.78,111.86,103.23,110.83,111.4,105.88,84.16,110.37,87.75,,27,965,36,28.57,
24.10.22 10:35:47,11.28,99.1,109.37,121.32,93.91,98.22,111.36,130.73,106.67,95.82,85.47,110.35,107.47,111.38,108.77,131.72,123.91,98.68,100,124.28,116.5,110.94,103.02,120.42,87.61,,27,965,36,28.6,
24.10.22 10:36:02,11.53,98.2,105.25,108.64,85.34,107.54,113.69,124.35,116.31,120.62,100.76,122,104.25,97.03,108.31,119.27,114.8,100.59,106.95,109.43,123.35,101.2,97.31,101.53,100.73,,27,965,36,28.63,
24.10.22 10:36:17,11.78,101.36,97.63,136.34,81.35,97.48,92.64,113.51,102.56,102.56,75.06,97.43,101.97,98.81,101.2,128.28,114.8,119.92,86.52,101.96,110.26,96.29,97.01,107.39,90.13,,27,965,36,28.64,
24.10.22 10:36:32,12.03,98.35,93.95,127.76,76.15,100.15,102.99,125.97,97.61,111.78,85.18,108.16,105.78,102.39,103.45,115.32,110.57,108.97,101.23,109.28,111.73,109.55,93.45,106,95.38,,27,965,36,28.68,
24.10.22 10:36:47,12.28,94.63,103.59,141.55,86.2,88.58,110.75,138.07,107.59,105,87.36,127.07,91.52,106.32,111.85,127.3,103.03,109.27,105.39,127.68,101.27,114.66,116.96,118.64,109.59,,27,965,36,28.69,
24.10.22 10:37:02,12.53,87.46,100.89,137.84,78.67,96.3,128.3,143.69,106.21,108.99,95.48,126.57,102.72,88,103.3,102.55,100.6,113.86,106.17,113.63,109.28,107.1,93.16,92.47,95.1,,27,965,36,28.72,
24.10.22 10:37:17,12.78,90.36,109.37,124.36,89.38,84.01,108.45,124.35,116.79,108.53,90.29,109.25,96.25,97.77,97.18,115.32,101.36,93.58,95.3,113.16,116.16,104.51,110.85,95.61,91.26,,27,965,36,28.76,
24.10.22 10:37:32,13.03,106.23,93.95,122.92,86.49,94.39,95.27,103.48,109.44,100.9,86.05,109.56,93.58,88.29,105.57,108.64,98.8,101.63,96.35,111.14,99.21,111.86,99.85,110.21,88.87,,27,965,36,28.78,
24.10.22 10:37:47,13.28,98.95,94.68,105.58,87.78,94.24,110.75,137.91,102.11,105.3,84.03,114.29,103.94,96.3,97.03,115.79,105.01,107.76,107.89,121.22,89.73,113.88,97.01,107.71,91.26,,27,965,36,28.8,
24.10.22 10:38:02,13.53,122.57,111.21,142.74,85.2,107.84,128.79,146.97,133.48,116.81,96.23,125.75,125.05,113.7,112.63,135.04,126.03,118.35,108.51,144.59,112.54,111.4,103.17,114.96,102.19,,27,965,36,28.83,
24.10.22 10:38:17,13.78,92.71,100.15,139.36,73.93,101.19,106.01,121.61,101.35,103.93,80.01,113.66,94.47,88.15,99.4,114.69,108.4,106.25,100.92,111.29,101.11,102.1,96.26,97.57,85.38,,27,965,36,28.85,
24.10.22 10:38:32,14.03,90.51,94.54,130.54,73.93,94.97,112.91,104.85,113.64,98.65,81.58,113.18,99.85,84.29,104.51,109.26,107.63,115.4,85.35,123.31,105.57,93.79,98.2,109.58,94.24,,27,965,36,28.88,
24.10.22 10:38:47,14.28,96.41,100.75,118.14,86.49,102.99,99.11,116.03,110.84,104.84,93.4,112.71,90.2,109.22,102.55,122.94,111.82,105.2,104.77,115.82,110.42,110.01,98.2,110.53,94.1,,27,965,36,28.9,
24.10.22 10:39:02,14.53,106.38,113.22,126.3,73.1,91.61,123.3,125.81,107.9,102.26,85.76,116.04,112.6,93.51,94.23,105.43,96.7,100.15,91.7,111.6,117.16,105.57,93.31,107.71,101.02,,27,965,36,28.93,
24.10.22 10:39:17,14.78,94.92,89.74,117.03,61.19,88.87,102.09,117.77,101.35,104.08,78.73,121.02,91.96,98.07,97.62,111.42,90.78,102.22,96.05,112.69,102.54,97.03,81.6,98.33,81.52,,27,965,36,28.94,
24.10.22 10:39:32,15.03,90.07,97.77,126.14,68.04,99.4,104.2,114.93,115.21,98.05,87.07,124.77,88.59,89.3,101.05,117.37,105.63,103.26,100.77,106.36,96.07,115.45,87.61,95.16,85.93,,27,965,36,28.97,
24.10.22 10:39:47,15.28,103.48,94.54,126.46,94.5,103.45,103.29,145.07,106.37,103.48,70.04,107.53,89.61,93.22,108.31,122.46,106.09,98.97,99.85,124.6,100.95,104.36,101.51,113.37,94.95,,27,965,36,28.97,
24.10.22 10:40:02,15.53,92.42,90.61,119.25,61.32,81.75,97.48,119.69,107.29,101.36,84.6,125.92,101.51,102.09,96.29,109.57,110.42,88.42,91.1,118.67,96.07,110.63,79.9,106,79.34,,27,965,36,29.01,
24.10.22 10:40:17,15.78,99.25,98.22,114.21,74.21,101.19,102.84,140.11,115.84,111.47,82.16,122.48,111.82,91.18,98.36,118.16,99.7,100.74,85.06,113.32,115.34,119.7,89.5,93.21,87.33,,27,965,36,29.04,
24.10.22 10:40:32,16.03,78.32,96.45,125.81,69.95,91.32,97.33,109.77,110.99,104.69,70.46,96.07,99.7,84.15,87.42,103.76,88.16,105.95,90.36,114.41,95.6,117.8,86.89,103.83,86.49,,27,965,36,29.04,
24.10.22 10:40:47,16.28,93.15,95.71,126.46,65.34,95.41,99.55,113.98,111.46,106.07,69.35,99.09,85.12,86.29,98.96,98.21,103.18,86.72,92,113.16,98.11,101.5,97.75,104.14,80.84,,27,965,36,29.07,
24.10.22 10:41:02,16.53,95.67,105.71,130.54,78.11,96.44,116.96,112.26,118.53,104.54,91.77,124.28,91.22,107.08,115.74,114.69,122.14,104.6,104.31,128.5,105.89,113.11,100,121.07,86.21,,27,965,36,29.08,
24.10.22 10:41:17,16.78,102.72,95.12,123.72,59.2,82.31,113.84,121.29,108.83,93.75,78.59,108.94,87.43,82.74,93.79,110.49,102.42,87.01,91.7,109.13,106.22,94.67,85.45,112.26,80.16,,27,965,36,29.11,
24.10.22 10:41:32,17.03,93.74,107.53,140.03,72.97,99.4,112.6,109.31,107.44,112.25,81.58,100.61,96.7,94.09,105.42,126.65,108.71,96.63,89.47,119.31,104.45,101.95,92.72,104.29,81.93,,27,965,36,29.15,
24.10.22 10:41:47,17.28,100.15,87.44,99.4,69.13,88,88.02,105.16,96.12,101.96,78.16,108.94,75.89,88.15,96.73,123.74,87.87,94.16,96.81,101.96,98.9,81.99,82.73,98.03,78.39,,27,965,36,29.15,
24.10.22 10:42:03,17.55,95.37,100.45,127.92,72.14,88,105.71,104.7,109.91,97.46,84.17,102.44,96.4,96.15,89.14,114.69,105.17,101.63,98.17,118.67,109.77,104.66,96.12,99.39,86.35,,27,965,36,29.16,
24.10.22 10:42:18,17.8,99.4,106.16,119.72,68.86,91.18,102.09,117.14,116.79,103.63,79.3,111.6,91.22,91.03,101.95,113.76,107.01,97.8,78.54,101.96,103.33,91.02,80.18,114.16,85.24,,27,965,36,29.18,
24.10.22 10:42:33,18.05,83.71,97.48,137.84,67.23,93.22,108.14,133.21,123.17,97.9,81.72,112.08,92.69,91.47,89.29,126.49,109.64,89.85,100,134.44,105.89,112.02,89.79,109.58,90.41,,27,965,36,29.21,
24.10.22 10:42:48,18.3,95.96,110.59,137,60.13,99.7,104.05,119.05,104.08,96.86,77.74,113.97,92.99,94.97,93.35,119.27,103.49,84.47,91.55,114.57,115.34,92.03,86.89,117.84,75.96,,27,965,36,29.24,
24.10.22 10:43:03,18.55,89.05,102.84,124.85,75.04,95.71,115.71,133.21,123.65,110.54,88.53,121.51,101.51,106.93,112.32,120.7,118.77,106.85,96.81,128.34,112.22,114.04,101.2,113.53,86.35,,27,965,36,29.26,
24.10.22 10:43:18,18.8,72.33,94.54,119.09,60.92,88.72,113.38,98.05,96.27,87.04,69.21,94.42,80.54,83.73,87.56,110.65,94.17,90.13,82.29,108.66,99.21,94.23,77.36,100.92,82.62,,27,965,36,29.28,
24.10.22 10:43:33,19.05,93.59,95.27,113.59,66.41,99.26,109.98,112.11,106.98,104.54,73.94,129.88,88.88,89.16,98.07,115.48,106.24,93.87,92.89,113.16,106.38,89.28,94.49,108.8,82.21,,27,965,36,29.3,
24.10.22 10:43:48,19.3,88.33,89.45,117.19,75.88,81.75,83.74,104.39,106.21,107.14,77.17,114.61,97.9,90.6,83.14,104.37,101.36,111.4,89.91,108.97,97.95,85.26,95.82,107.39,83.58,,27,965,36,29.33,
24.10.22 10:44:03,19.55,98.2,90.46,122.92,71.59,81.61,100.15,103.78,106.06,101.81,82.87,112.39,90.93,98.66,89,115.95,102.88,85.31,83.89,115.67,91.26,95.26,81.45,105.53,81.25,,27,965,36,29.35,
24.10.22 10:44:18,19.8,87.75,91.04,120.68,53.05,80.34,97.48,105.46,107.9,93.01,69.76,112.23,71.85,92.2,76.14,96.43,86.42,93.15,89.47,110.52,86.67,91.6,78.06,104.14,72.61,,27,965,36,29.36,
24.10.22 10:44:33,20.05,87.75,107.53,115.93,58.94,92.2,116.02,119.85,111.93,94.19,93.25,118.28,78.42,89.88,91.75,112.04,93.88,98.68,91.55,105.6,109.45,87.55,92.86,99.39,94.95,,27,965,36,29.4,
24.10.22 10:44:48,20.3,84.86,112.91,126.46,80.22,94.39,107.68,117.62,119.01,100.3,83.31,96.07,89.18,92.49,84.7,114.38,98.05,79.6,95.45,112.38,96.54,104.81,84.16,109.27,84.96,,27,965,36,29.43,
24.10.22 10:45:03,20.55,84.43,89.74,113.27,73.52,84.43,108.14,113.67,110.06,94.63,64.42,111.92,81.11,95.56,90.16,121.18,112.44,91.85,103.23,120.42,95.76,95.11,74.71,114,78.12,,27,965,36,29.43,
24.10.22 10:45:18,20.8,89.2,86.87,136.84,67.36,85.86,96.3,115.56,100,85.74,81.44,123.13,95.95,87.14,91.75,112.82,104.86,103.71,84.47,113,87.43,91.74,84.88,98.33,79.2,,27,965,36,29.47,
24.10.22 10:45:33,21.05,101.05,106.32,139.02,63.46,91.76,95.71,119.05,108.52,99.1,71.84,115.56,84.4,84.72,89.14,117.52,115.75,101.33,95.14,128.99,105.25,94.81,72.77,122.69,94.53,,27,965,36,29.5,
24.10.22 10:45:48,21.3,81.15,92.93,123.08,61.72,81.05,96.89,116.51,115.84,94.19,73.94,121.67,81.39,88.15,90.73,113.13,96.25,88.71,85.93,105.6,92.81,94.96,81.45,109.27,78.52,,27,965,36,29.53,
24.10.22 10:46:03,21.55,90.66,83.46,127.76,52.92,89.16,97.63,124.84,108.52,85.31,80.87,123.13,81.68,82.74,83.43,111.89,99.7,99.56,102.92,117.4,104.13,95.99,86.32,107.08,79.88,,27,965,36,29.54,
24.10.22 10:46:18,21.8,91.24,103.29,122.11,59.46,75.34,100,120.97,109.75,82.45,76.89,130.55,91.66,87.29,98.21,118.16,114.01,93.44,80.56,116.61,91.42,89.57,88.77,97.27,86.21,,27,965,36,29.55,
24.10.22 10:46:33,22.05,101.81,88.16,137,72.69,80.76,87.73,132.22,122.04,104.69,89.12,108.16,81.39,88,92.77,113.13,102.72,104.6,100.77,130.96,100.32,100.15,79.19,119.61,85.8,,27,965,36,29.58,
24.10.22 10:46:48,22.3,91.1,98.81,118.93,60.39,73.55,115.24,106.07,114.11,82.31,74.78,115.56,85.26,92.49,85.42,103.31,100.75,99.85,96.81,127.36,101.27,88.41,78.49,118.96,89.43,,27,965,36,29.61,
24.10.22 10:47:03,22.55,81.01,93.08,128.25,51.24,79.78,99.55,104.09,98.65,87.04,73.38,99.24,75.33,86.29,91.9,95.1,93.88,76.3,90.51,108.66,84.1,91.45,74.71,100.61,85.66,,27,965,36,29.64,
24.10.22 10:47:18,22.8,103.02,103.74,150.84,52.4,84.58,93.22,114.77,104.23,101.05,70.46,119.09,78.56,91.18,97.47,114.54,101.06,90.13,100,109.13,91.88,94.23,77.22,102.45,85.24,,27,965,36,29.65,
24.10.22 10:47:33,23.05,87.31,101.94,114.52,65.6,78.94,100.75,117.77,101.2,80.18,71.7,125.59,80.83,88.15,91.32,117.05,80.68,92.14,90.21,125.57,95.6,96.14,70.71,113.68,73.28,,27,965,36,29.68,
24.10.22 10:47:48,23.3,84.43,94.98,112.96,54.22,79.64,98.96,125,117.42,85.74,65.51,106.76,71.85,86.86,81.03,111.89,98.95,86.3,77.83,127.03,80.05,87.69,64.99,109.58,80.02,,27,965,36,29.68,
24.10.22 10:48:03,23.55,83.14,98.51,123.72,59.86,80.9,105.1,124.19,108.06,89.65,73.24,113.18,79.83,92.05,88.42,104.37,100.15,93.72,87.99,110.36,100,81.57,80.18,111,74.62,,27,965,36,29.72,
24.10.22 10:48:18,23.8,91.54,109.37,120.04,51.37,75.61,104.65,113.67,99.7,81.31,80.01,125.59,76.87,89.01,90.01,105.13,94.02,93,93.19,121.86,100.47,103.76,88.05,99.85,83.72,,27,965,36,29.74,
24.10.22 10:48:33,24.05,83.29,90.18,120.36,59.99,78.39,99.7,107.3,124.3,87.18,66.19,106.76,79.69,84.43,102.25,122.14,86.27,86.3,90.8,117.88,88.04,80.44,79.05,113.53,77.85,,27,965,36,29.76,
24.10.22 10:48:48,24.3,105.16,98.22,137.67,73.38,80.48,97.18,126.95,106.21,92.42,86.93,106.29,61.78,85,95.41,125.03,98.35,95.75,96.35,130.96,125.89,104.36,76.94,106.77,87.61,,27,965,36,29.79,
24.10.22 10:49:03,24.55,91.83,82.61,142.57,42.1,83.73,100.6,116.35,113.33,90.96,64.96,130.55,72.13,87.57,102.85,121.5,112.6,96.19,85.93,121.7,105.57,97.77,83.3,122.37,77.58,,27,965,36,29.79,
24.10.22 10:49:18,24.8,81.58,96.74,128.58,48.42,78.53,90.9,103.63,98.2,78.63,74.36,106.6,67.05,85.86,90.59,115.95,89.18,85.03,89.02,106.51,88.2,104.81,78.91,93.51,89.57,,27,965,36,29.8,
