Measurement Name :,20221028_SDR641_Plate16,,Generated On :,"28/10/2022, 11:10:47",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"28/10/2022, 10:35:44",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"28/10/2022, 11:09:57",,,,,,O2_cal0 [¡],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,Adjustment at ,30, ¡C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [¡C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [[%] Air Saturation],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,46.28,46.2,46.12,46.07,46.2,46.31,46.32,46.29,46.37,46.41,46.43,46.31,46.27,46.37,46.51,46.65,46.37,47,46.32,46.65,46.2,46.99,46.3,46.4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
28.10.22 10:35:46,0.03,113.25,113.15,122.68,102.49,110.54,117.06,124.75,108.78,84.13,109.83,113.62,112.52,111.38,98.2,103.84,112.97,116.69,117.71,108.2,92.78,116.09,112.97,115.63,122.52,,30,965,36,30.35,965D6-(E1);
28.10.22 10:36:01,0.28,99.25,117.18,113.2,96.8,118.12,104.52,121.53,101.05,116.53,103.8,109.54,113.3,109.38,106.24,102.15,109.6,101.96,121.8,108.66,107.22,88.52,84.08,119.1,97.59,,30,965,36,30.36,
28.10.22 10:36:16,0.53,110.47,111,117.2,99.27,105.68,100.75,117.08,102.1,106.85,113.75,115.36,96.87,102.54,101.81,105.08,102.81,98.65,100.81,104.83,100.93,99.56,84.23,118.94,120.42,,30,965,36,30.39,
28.10.22 10:36:31,0.78,100.15,104.47,101.47,103.23,113.46,113.61,114.09,102.55,111.97,113.43,107.51,105.89,104.35,86,115.65,118.67,114.01,95.67,125.4,93.85,102.38,103.4,112.5,101.51,,30,965,36,30.41,
28.10.22 10:36:46,1.03,102.1,103.42,107.58,103.08,101.34,103.16,105.59,109.55,107,108.27,99.24,89.83,89.59,86.28,107.11,107.22,108.86,101.29,104.07,108.17,108.7,100.48,112.97,69.59,,30,965,36,30.42,
28.10.22 10:37:01,1.28,114.81,106.58,123.47,105.01,116.25,98.8,114.56,103.91,115.9,100.15,115.84,101.95,102.09,119.72,102.15,111.85,105.62,92.18,129.8,97.06,103.57,128.87,121.33,119.78,,30,965,36,30.45,
28.10.22 10:37:16,1.53,105.42,99.41,118.29,102.64,107.94,103.92,110.82,96.88,101.21,109.21,112.52,106.81,104.81,101.36,113.26,97.83,93.29,99.52,114.56,85.27,101.19,91.24,108.33,97.44,,30,965,36,30.46,965D6-(E1);
28.10.22 10:37:31,1.78,102.85,108.4,114.12,104.27,109.77,97.32,109.43,104.51,107.47,110.45,102.74,109.11,109.84,114.16,104.46,106.58,92.7,99.52,107.58,89.46,97.79,116.5,110.95,104.72,,30,965,36,30.48,
28.10.22 10:37:46,2.03,100.3,118.12,113.2,95.65,108.7,102.4,107.89,99.7,103.64,103.5,103.81,102.71,100.45,111.97,100.92,117.36,106.54,131.19,103.31,89.76,90.66,104.54,103.76,111.22,,30,965,36,30.49,
28.10.22 10:38:01,2.28,86.27,107.49,125.53,93.21,106.13,116.75,110.97,94.08,100.3,104.57,102.43,95.84,92.63,87.3,101.38,102.49,103.64,101.78,121.37,102.34,110.69,107.66,109.41,98.64,,30,965,36,30.52,
28.10.22 10:38:16,2.53,105.87,124.13,95.19,92.78,105.68,87.66,108.66,113.74,110.88,98.79,118.71,112.83,83.44,104.55,117.74,102.34,107.16,97.91,104.53,103.59,106.73,109.64,105.58,94.31,,30,965,36,30.53,
28.10.22 10:38:31,2.78,103.6,93.26,101.32,106.94,110.38,102.56,112.22,105.42,112.28,111.08,104.12,84.51,112,97,106.48,100.31,101.66,94.39,128.82,92.63,102.97,98.23,101.35,99.25,,30,965,36,30.55,
28.10.22 10:38:46,3.03,130.01,118.28,126.17,118.51,132.05,99.85,120.09,105.27,102.27,99.7,126.18,116.12,106.93,128.8,111.83,124.45,113.69,114.33,112.06,108.97,121.43,114.99,106.04,122.84,,30,965,36,30.56,
28.10.22 10:39:01,3.28,103.3,103.57,112.89,105.16,94.86,105.59,109.12,95.99,99.1,112.33,120.81,103.46,100.6,89.77,108.83,108.17,103.48,92.02,114.4,88.86,99.7,95.67,100.3,81.92,,30,965,36,30.59,
28.10.22 10:39:16,3.53,104.21,111.15,109.54,95.94,101.93,97.02,108.2,106.95,111.19,130.58,107.05,97.91,101.49,119.88,106.64,103.28,105.32,100.65,113,84.97,112.22,94.24,113.13,107.03,,30,965,36,30.6,
28.10.22 10:39:31,3.78,110.31,104.92,110.76,94.21,114.85,102.4,112.68,91.45,87.3,124.65,106.58,101.65,99.7,107.31,104.15,99.84,102.57,92.49,108.97,95.53,106.73,84.69,88.54,94.46,,30,965,36,30.61,
28.10.22 10:39:46,4.03,104.81,106.43,90.03,98.4,97.64,87.52,102.56,92.76,99.4,108.58,93.4,97.17,74.1,90.65,86.81,108.97,115.58,95.03,114.72,88.26,93.41,103.89,110.8,90.18,,30,965,36,30.63,
28.10.22 10:40:01,4.28,107.86,107.49,114.89,106.65,93.7,95.39,114.09,101.35,98.95,102.73,111.57,96.13,104.35,111.03,102.46,108.17,100,100.48,127.51,92.02,124.93,103.08,117.36,118.98,,30,965,36,30.63,
28.10.22 10:40:16,4.53,110,111.15,112.43,103.82,97.79,91.72,111.44,95.11,96.55,103.65,101.06,99.55,89.15,104.25,104.15,96.91,109.17,100.16,109.27,86.46,98.82,91.55,109.72,96.69,,30,965,36,30.67,
28.10.22 10:40:31,4.78,84.27,111.46,112.28,100.29,98.08,86.66,99.55,85.11,99.7,99.09,110.47,107.88,85.43,99.1,91.85,98.3,109.79,102.27,100.15,80.84,112.84,84.69,106.19,94.31,,30,965,36,30.67,
28.10.22 10:40:46,5.03,98.66,99.26,101.03,89.79,100,96.43,110.36,91.89,86.57,98.19,114.09,101.05,95.41,106.39,96.35,107.85,100.3,94.39,100.45,84.08,92.97,90.3,102.1,87.26,,30,965,36,30.67,
28.10.22 10:41:01,5.28,111.7,107.94,118.45,107.69,113.77,100.3,106.66,97.17,100.6,117.08,131.81,108.96,107.09,118.92,112.46,117.52,119.56,104.06,126.37,106.42,130.91,112.97,116.57,110.44,,30,965,36,30.71,
28.10.22 10:41:16,5.53,106.33,106.88,100.44,101.02,110.38,90.12,125.24,103.45,105.93,104.26,118.71,103.16,91.9,103.79,106.8,100,107.78,95.99,105.14,87.81,100.59,83.77,108.18,89.88,,30,965,36,30.71,
28.10.22 10:41:31,5.78,91.46,104.17,114.73,102.49,89.09,98.36,111.44,101.2,90.94,91.05,117.43,96.57,102.85,105.47,93.94,84.38,110.1,104.39,118.98,79.09,129.45,94.88,99.25,88.13,,30,965,36,30.74,
28.10.22 10:41:46,6.03,102.85,113.46,103.1,99.56,111.46,91.14,102.11,92.76,78.3,105.95,116.48,99.1,114.17,108.7,106.8,92.78,108.24,103.9,116.45,98.61,103.42,102.1,98.06,79.36,,30,965,36,30.75,
28.10.22 10:42:01,6.28,90.88,112.69,119.38,95.5,102.83,84.08,119.62,83.41,91.52,108.58,103.97,103.61,89.87,105.93,105.71,108.81,89.48,89.81,106.97,96.14,104.17,103.89,100,98.34,,30,965,36,30.75,
28.10.22 10:42:16,6.53,100.45,104.92,113.35,90.79,116.72,108.65,114.87,89.28,94.77,108.74,118.39,102.1,74.51,103.03,111.99,101.09,97.9,106.35,116.29,90.66,107.79,100.81,117.2,94.46,,30,965,36,30.78,
28.10.22 10:42:31,6.78,104.06,98.08,100.44,96.51,112.38,98.8,108.2,100,103.33,96.39,117.75,101.8,104.66,97.3,97.26,108.17,103.94,85.29,114.4,92.02,114.23,89.67,109.1,97.89,,30,965,36,30.8,
