Measurement Name :,20221028_SDR641_Plate15,,Generated On :,"28/10/2022, 11:10:17",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"28/10/2022, 10:35:44",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"28/10/2022, 11:09:57",,,,,,O2_cal0 [¡],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,Adjustment at ,27, ¡C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [[%] Air Saturation],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,46.54,46.38,46.47,46.61,46.52,46.5,46.58,46.38,46.67,46.64,46.63,46.49,46.69,46.58,46.58,46.58,46.54,46.68,46.52,47.02,46.76,46.68,46.61,46.69,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
28.10.22 10:35:46,0.03,112.97,103.22,94.76,94.54,104.61,101.48,90.78,97.83,91.42,94.23,99.7,110.92,93.61,83.51,93.83,102.98,90.1,101.65,103.26,92.46,87.54,75.6,92.64,97.01,,27,965,36,27.43,
28.10.22 10:36:01,0.28,107.78,111.56,120.93,110.44,113.72,116.31,114.11,116.58,114.55,117.02,107.85,109.1,107.13,109.03,107.05,121.64,109.91,121.06,116.35,108.98,99.55,87.93,94.83,106.06,,27,965,36,27.47,
28.10.22 10:36:16,0.53,110.98,98.84,96.93,101.94,110.8,100.59,98.52,102.34,104.53,95.55,99.55,109.86,105.45,87.2,103.73,116.76,97.5,111.14,111.87,102.18,89.73,68.18,95.12,90.68,,27,965,36,27.51,
28.10.22 10:36:31,0.78,101.78,98.4,95.63,97.48,96.33,98.38,99.7,96.1,98.06,97.77,99.85,97.07,90.24,89.92,97.34,103.58,100.59,95.24,104.31,95.37,83.63,75.46,87.59,89.95,,27,965,36,27.55,
28.10.22 10:36:46,1.03,116.85,99.13,100.29,107.84,105.06,101.92,98.22,109.3,95.09,97.17,97.33,109.4,93.31,85.92,97.93,111.48,94.87,102.11,99.12,93.99,90.02,74.63,87.01,97.9,,27,965,36,27.58,
28.10.22 10:37:01,1.28,103.12,99.71,100.44,107.84,96.92,96.63,101.79,97.39,93.47,92.62,98.81,99.71,107.44,82.67,105.39,103.28,100.15,102.71,102.52,102.03,94.9,69.95,98.96,96.57,,27,965,36,27.61,
28.10.22 10:37:16,1.53,109,92.81,101.62,92.49,98.23,105.35,97.63,99.27,92.16,91.74,94.53,92.73,90.97,74.75,101.34,103.88,90.1,94.5,101.48,93.38,71.76,67.63,85.87,90.82,,27,965,36,27.65,
28.10.22 10:37:31,1.78,116.38,108.85,113.04,99.55,112.03,108.96,108.57,111.86,103.46,98.51,105.26,112.76,99.1,100.3,110.41,106.75,95.89,107.43,108.37,104.54,97.89,85.63,96.89,103.62,,27,965,36,27.68,
28.10.22 10:37:46,2.03,105.37,100.15,100.44,105.41,115.41,106.09,106.6,107.51,103.31,103.3,97.18,114.29,101.96,93.1,107.51,108.88,97.94,104.53,103.56,99.53,100.91,74.63,91.19,97.9,,27,965,36,27.71,
28.10.22 10:38:01,2.28,99.41,96.96,93.32,85.73,100.3,104.9,101.34,95.09,99.7,88.99,89.58,105.79,94.34,75.03,98.81,108.73,90.68,94.65,95.02,88.53,78.07,70.49,90.03,93.02,,27,965,36,27.72,
28.10.22 10:38:16,2.53,101.93,97.1,96.21,100.6,98.97,105.05,93.68,96.82,95.68,89.13,85.42,100.59,94.05,76.68,105.39,97.34,90.1,97.16,101.18,96.13,78.63,71.59,91.62,94.34,,27,965,36,27.76,
28.10.22 10:38:31,2.78,107.33,101.02,102.06,107.68,100.59,118.96,97.04,106.76,107.27,94.96,108.31,118.16,108.83,83.93,109.34,122.91,112.67,98.06,104.91,98.14,87.25,71.04,93.51,93.17,,27,965,36,27.79,
28.10.22 10:38:46,3.03,90.25,87.45,80.51,95.71,96.62,84.63,84.64,90.54,91.57,75.7,83.57,86.61,84.03,72.16,86.2,98.37,85.41,88.22,87.28,82.27,69.83,58.41,80.64,75.02,,27,965,36,27.82,
28.10.22 10:39:01,3.28,101.33,98.69,101.47,94.68,104.61,101.62,90.93,96.24,97.02,94.52,89.58,110.92,85.18,77.92,96.31,109.34,95.89,97.31,97.65,93.99,81.05,69.54,88.02,93.02,,27,965,36,27.83,
28.10.22 10:39:16,3.53,111.74,97.68,92.46,109.37,95.31,104.6,97.63,109,101.8,93.93,101.05,103.4,89.22,83.23,96.6,109.64,95.6,101.2,90.12,98.45,80.91,76.02,95.42,93.02,,27,965,36,27.85,
28.10.22 10:39:31,3.78,114.05,103.81,97.66,99.4,99.71,111.39,99.26,106.17,97.17,94.08,99.11,113.37,89.08,79.03,104.63,115.04,103.57,103.92,99.26,105.65,91.93,61.85,90.46,98.35,,27,965,36,27.86,
28.10.22 10:39:46,4.03,99.7,91.96,87.62,95.71,91.27,97.8,90.49,94.95,91.28,83.83,84.13,104.59,88.93,73.38,99.7,92.66,79.67,92.44,88.13,87.63,69,61.72,81.91,87.92,,27,965,36,27.88,
28.10.22 10:40:01,4.28,121.55,111.26,100.88,107.99,108.22,108.51,96.9,108.11,100.45,94.23,97.03,114.44,91.41,80.98,101.49,104.03,94,111.14,114.18,97.68,96.54,76.29,89.89,103.78,,27,965,36,27.9,
28.10.22 10:40:16,4.53,109.6,109.3,95.48,101.04,100.44,108.96,99.7,98.26,97.17,103.3,100.75,116.3,93.46,86.34,99.26,109.49,84.42,94.94,110.04,98.45,87.54,68.45,91.62,95.53,,27,965,36,27.91,
28.10.22 10:40:31,4.78,108.54,93.38,96.93,95.27,104.61,107.9,96.9,103.22,91.72,95.55,96.88,115.99,98.2,87.2,112.25,109.03,93.71,97.91,101.03,99.53,90.75,69.95,96.3,91.85,,27,965,36,27.93,
28.10.22 10:40:46,5.03,92.84,92.1,88.05,87.73,87.13,95.18,93.24,91.53,98.36,93.2,90.88,94.31,81.33,81.12,95.87,108.12,94.14,95.68,95.31,89.89,78.92,64.39,82.05,90.09,,27,965,36,27.94,
28.10.22 10:41:01,5.28,99.41,83.29,89.04,86.73,93.28,91.29,91.36,86.2,88.95,84.54,90.3,98.09,89.95,75.85,96.75,98.52,87.39,88.22,90.98,86.43,72.6,56.7,82.75,80.34,,27,965,36,27.97,
28.10.22 10:41:16,5.53,116.38,107.81,98.39,96,109.74,103.26,110.56,107.06,106.97,105.73,102.55,118.47,95.53,85.35,97.34,115.66,95.3,107.28,104.16,101.72,100.15,71.04,90.18,94.94,,27,965,36,27.99,
28.10.22 10:41:31,5.78,92.84,88.57,84.95,91.04,97.79,97.65,91.79,93.52,99.4,89.13,88.86,102.51,88.79,78.75,89.49,102.08,84.28,93.91,94.88,87.63,76.09,66.55,79.66,85.47,,27,965,36,28,
28.10.22 10:41:46,6.03,113.74,104.54,103.99,107.68,112.03,118.18,101.04,115.66,112.06,101.8,103,119.25,94.05,94.85,111.64,112.25,101.93,110.83,107.61,107.23,85.94,70.49,91.62,101.66,,27,965,36,28.01,
28.10.22 10:42:01,6.28,96.18,87.17,89.32,100,96.48,112.92,93.97,86.62,96.13,88.12,84.28,110.62,82.89,77.09,99.85,110.41,83.44,87.21,92.71,96.75,87.1,71.59,90.03,90.09,,27,965,36,28.03,
28.10.22 10:42:16,6.53,114.52,109.45,101.18,102.99,109.13,108.81,101.79,109.3,106.97,95.55,92.33,106.84,95.68,90.78,108.42,111.33,100.89,93.91,108.22,102.97,83.77,69.13,88.45,94.94,,27,965,36,28.04,
28.10.22 10:42:31,6.78,109.3,90.26,93.89,96.15,97.06,110.02,88.34,111.86,93.03,91.89,89.14,107.29,93.17,68.91,99.11,111.33,94.72,97.16,96.92,98.45,79.34,59.99,83.74,89.51,,27,965,36,28.05,
