Date,Run,Ptime,Rtime
20221024,1,25,26
20221024,2,25,26
20221024,3,25,26
20221024,4,25,26
20221026,5,20,21
20221026,6,20,21
20221026,7,20,21
20221026,8,20,21
20221026,9,17,18
20221026,10,17,18
20221026,11,20,21
20221026,12,20,21
20221028,13,20,21
20221028,14,20,21
20221028,15,20,21
20221028,16,20,21
